"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Expected_additive_load","SD_additive_load"
"1",0.01,0.2,0,4810.12,124.296670197645
"2",0.01,0.2,0.2,4804.66,153.972266950575
"3",0.01,0.2,0.4,4861.49,141.658395123942
"4",0.01,0.2,0.6,4851,145.075946672873
"5",0.01,0.2,0.8,4976.8,177.589243463503
"6",0.01,0.2,0.95,82715.65,5115.79529718765
"7",0.01,0.2,0.99,110474.36,1610.434608007
"8",0.01,0.2,1,116755.38,1332.01543034106
"9",0.01,0.5,0,2034.09,59.1375890990193
"10",0.01,0.5,0.2,2018.86,69.6996471158987
"11",0.01,0.5,0.4,2032.49,72.1166976560081
"12",0.01,0.5,0.6,2031.48,69.0112682937732
"13",0.01,0.5,0.8,2055.64,89.4095694604952
"14",0.01,0.5,0.95,2674.47,239.21075847398
"15",0.01,0.5,0.99,3434.69,603.367681844951
"16",0.01,0.5,1,85852.39,1113.9162772068
