"","Uniparenting_rate","Replicate","N_seg_homo_genotypes_cloning"
"1",0,1,16014
"2",0,2,16735
"3",0,3,16534
"4",0,4,17274
"5",0,5,16862
"6",0,6,15808
"7",0,7,15920
"8",0,8,16955
"9",0,9,17933
"10",0,10,15870
"11",0,11,17307
"12",0,12,16785
"13",0,13,15946
"14",0,14,15950
"15",0,15,15881
"16",0,16,16757
"17",0,17,17572
"18",0,18,18401
"19",0,19,17602
"20",0,20,16771
"21",0.2,1,15953
"22",0.2,2,16701
"23",0.2,3,15605
"24",0.2,4,18082
"25",0.2,5,16803
"26",0.2,6,16502
"27",0.2,7,17280
"28",0.2,8,16328
"29",0.2,9,16373
"30",0.2,10,16355
"31",0.2,11,15189
"32",0.2,12,17193
"33",0.2,13,16544
"34",0.2,14,16047
"35",0.2,15,15755
"36",0.2,16,17344
"37",0.2,17,16021
"38",0.2,18,16987
"39",0.2,19,15519
"40",0.2,20,16442
"41",0.4,1,15621
"42",0.4,2,17534
"43",0.4,3,14964
"44",0.4,4,15646
"45",0.4,5,15714
"46",0.4,6,16149
"47",0.4,7,15367
"48",0.4,8,15809
"49",0.4,9,16109
"50",0.4,10,15476
"51",0.4,11,16581
"52",0.4,12,16119
"53",0.4,13,15789
"54",0.4,14,15617
"55",0.4,15,16217
"56",0.4,16,15785
"57",0.4,17,15542
"58",0.4,18,16577
"59",0.4,19,15219
"60",0.4,20,17271
"61",0.6,1,14551
"62",0.6,2,15656
"63",0.6,3,14609
"64",0.6,4,13331
"65",0.6,5,14127
"66",0.6,6,14174
"67",0.6,7,14695
"68",0.6,8,16369
"69",0.6,9,14509
"70",0.6,10,15320
"71",0.6,11,14322
"72",0.6,12,14828
"73",0.6,13,16347
"74",0.6,14,15101
"75",0.6,15,16217
"76",0.6,16,15976
"77",0.6,17,15001
"78",0.6,18,15386
"79",0.6,19,15269
"80",0.6,20,14973
"81",0.8,1,12835
"82",0.8,2,11387
"83",0.8,3,13289
"84",0.8,4,12906
"85",0.8,5,12517
"86",0.8,6,13621
"87",0.8,7,12198
"88",0.8,8,12574
"89",0.8,9,13215
"90",0.8,10,13618
"91",0.8,11,12990
"92",0.8,12,12971
"93",0.8,13,13723
"94",0.8,14,12301
"95",0.8,15,12288
"96",0.8,16,13472
"97",0.8,17,13260
"98",0.8,18,13896
"99",0.8,19,13119
"100",0.8,20,11242
"101",0.95,1,9277
"102",0.95,2,3077
"103",0.95,3,0
"104",0.95,4,4875
"105",0.95,5,8250
"106",0.95,6,5556
"107",0.95,7,7281
"108",0.95,8,7414
"109",0.95,9,0
"110",0.95,10,4360
"111",0.95,11,15314
"112",0.95,12,16269
"113",0.95,13,2734
"114",0.95,14,2705
"115",0.95,15,4705
"116",0.95,16,4734
"117",0.95,17,5665
"118",0.95,18,7025
"119",0.95,19,10766
"120",0.95,20,2793
"121",0.99,1,4659
"122",0.99,2,717
"123",0.99,3,1964
"124",0.99,4,1962
"125",0.99,5,1828
"126",0.99,6,0
"127",0.99,7,105
"128",0.99,8,3051
"129",0.99,9,2335
"130",0.99,10,0
"131",0.99,11,5538
"132",0.99,12,2853
"133",0.99,13,6282
"134",0.99,14,5810
"135",0.99,15,4814
"136",0.99,16,4802
"137",0.99,17,1813
"138",0.99,18,90
"139",0.99,19,0
"140",0.99,20,0
"141",1,1,0
"142",1,2,0
"143",1,3,0
"144",1,4,0
"145",1,5,0
"146",1,6,0
"147",1,7,0
"148",1,8,0
"149",1,9,0
"150",1,10,0
"151",1,11,0
"152",1,12,0
"153",1,13,0
"154",1,14,0
"155",1,15,0
"156",1,16,0
"157",1,17,0
"158",1,18,0
"159",1,19,0
"160",1,20,0
