"","Uniparenting_rate","Replicate","N_segregating_mutations_selfing"
"1",0,1,76702
"2",0,2,78691
"3",0,3,74740
"4",0,4,74531
"5",0,5,74959
"6",0,6,74070
"7",0,7,73002
"8",0,8,74573
"9",0,9,76696
"10",0,10,73635
"11",0,11,76628
"12",0,12,75359
"13",0,13,78948
"14",0,14,75655
"15",0,15,74675
"16",0,16,76405
"17",0,17,75749
"18",0,18,76433
"19",0,19,73351
"20",0,20,73536
"21",0.2,1,64797
"22",0.2,2,66597
"23",0.2,3,66419
"24",0.2,4,63356
"25",0.2,5,66238
"26",0.2,6,67282
"27",0.2,7,66979
"28",0.2,8,66976
"29",0.2,9,66931
"30",0.2,10,68303
"31",0.2,11,67611
"32",0.2,12,64695
"33",0.2,13,58991
"34",0.2,14,63165
"35",0.2,15,63347
"36",0.2,16,64750
"37",0.2,17,66580
"38",0.2,18,67561
"39",0.2,19,65596
"40",0.2,20,65123
"41",0.4,1,57436
"42",0.4,2,58815
"43",0.4,3,59767
"44",0.4,4,53311
"45",0.4,5,54996
"46",0.4,6,58397
"47",0.4,7,54348
"48",0.4,8,59362
"49",0.4,9,57285
"50",0.4,10,58311
"51",0.4,11,61065
"52",0.4,12,56309
"53",0.4,13,54221
"54",0.4,14,57868
"55",0.4,15,54350
"56",0.4,16,57633
"57",0.4,17,55482
"58",0.4,18,58278
"59",0.4,19,57694
"60",0.4,20,56537
"61",0.6,1,43884
"62",0.6,2,47484
"63",0.6,3,46577
"64",0.6,4,46164
"65",0.6,5,47921
"66",0.6,6,47095
"67",0.6,7,45781
"68",0.6,8,46831
"69",0.6,9,48894
"70",0.6,10,48191
"71",0.6,11,47028
"72",0.6,12,47822
"73",0.6,13,46212
"74",0.6,14,47963
"75",0.6,15,48178
"76",0.6,16,46825
"77",0.6,17,47266
"78",0.6,18,45711
"79",0.6,19,47321
"80",0.6,20,46193
"81",0.8,1,32438
"82",0.8,2,36973
"83",0.8,3,34913
"84",0.8,4,38110
"85",0.8,5,35986
"86",0.8,6,33497
"87",0.8,7,39443
"88",0.8,8,35016
"89",0.8,9,38037
"90",0.8,10,34786
"91",0.8,11,32559
"92",0.8,12,35646
"93",0.8,13,34928
"94",0.8,14,36129
"95",0.8,15,36175
"96",0.8,16,38440
"97",0.8,17,35358
"98",0.8,18,39695
"99",0.8,19,35588
"100",0.8,20,33754
"101",0.95,1,17626
"102",0.95,2,17314
"103",0.95,3,18406
"104",0.95,4,18642
"105",0.95,5,16473
"106",0.95,6,22133
"107",0.95,7,15402
"108",0.95,8,16956
"109",0.95,9,16063
"110",0.95,10,17569
"111",0.95,11,19529
"112",0.95,12,17983
"113",0.95,13,17951
"114",0.95,14,18563
"115",0.95,15,15463
"116",0.95,16,20908
"117",0.95,17,16457
"118",0.95,18,20162
"119",0.95,19,17293
"120",0.95,20,21438
"121",0.99,1,7712
"122",0.99,2,10662
"123",0.99,3,9076
"124",0.99,4,8334
"125",0.99,5,8329
"126",0.99,6,6963
"127",0.99,7,9778
"128",0.99,8,9355
"129",0.99,9,12114
"130",0.99,10,10036
"131",0.99,11,7620
"132",0.99,12,9807
"133",0.99,13,6820
"134",0.99,14,8447
"135",0.99,15,6402
"136",0.99,16,7204
"137",0.99,17,8418
"138",0.99,18,12937
"139",0.99,19,10595
"140",0.99,20,9607
"141",1,1,4696
"142",1,2,6534
"143",1,3,4372
"144",1,4,4386
"145",1,5,7851
"146",1,6,6457
"147",1,7,3616
"148",1,8,7292
"149",1,9,3531
"150",1,10,6010
"151",1,11,3863
"152",1,12,8537
"153",1,13,7047
"154",1,14,5526
"155",1,15,10043
"156",1,16,6961
"157",1,17,8579
"158",1,18,6307
"159",1,19,6019
"160",1,20,5502
