"","Uniparenting_rate","Replicate","N_seg_homo_genotypes_selfing"
"1",0,1,16961
"2",0,2,17638
"3",0,3,16182
"4",0,4,16329
"5",0,5,16935
"6",0,6,15912
"7",0,7,15855
"8",0,8,16590
"9",0,9,16865
"10",0,10,16475
"11",0,11,17522
"12",0,12,16447
"13",0,13,17689
"14",0,14,16943
"15",0,15,16288
"16",0,16,16724
"17",0,17,16003
"18",0,18,16978
"19",0,19,16215
"20",0,20,15623
"21",0.2,1,15979
"22",0.2,2,16896
"23",0.2,3,16791
"24",0.2,4,15625
"25",0.2,5,16931
"26",0.2,6,16395
"27",0.2,7,18282
"28",0.2,8,17777
"29",0.2,9,17959
"30",0.2,10,17080
"31",0.2,11,17324
"32",0.2,12,16111
"33",0.2,13,13941
"34",0.2,14,15144
"35",0.2,15,16714
"36",0.2,16,16549
"37",0.2,17,17523
"38",0.2,18,16956
"39",0.2,19,17690
"40",0.2,20,15727
"41",0.4,1,16498
"42",0.4,2,16638
"43",0.4,3,17728
"44",0.4,4,15851
"45",0.4,5,15164
"46",0.4,6,16013
"47",0.4,7,15791
"48",0.4,8,18293
"49",0.4,9,17915
"50",0.4,10,16525
"51",0.4,11,18068
"52",0.4,12,16408
"53",0.4,13,15958
"54",0.4,14,17342
"55",0.4,15,16240
"56",0.4,16,15865
"57",0.4,17,15986
"58",0.4,18,17756
"59",0.4,19,17165
"60",0.4,20,17703
"61",0.6,1,13332
"62",0.6,2,16124
"63",0.6,3,15407
"64",0.6,4,15921
"65",0.6,5,16681
"66",0.6,6,16101
"67",0.6,7,15457
"68",0.6,8,16749
"69",0.6,9,17756
"70",0.6,10,14615
"71",0.6,11,17498
"72",0.6,12,16049
"73",0.6,13,16016
"74",0.6,14,17173
"75",0.6,15,17230
"76",0.6,16,16935
"77",0.6,17,16684
"78",0.6,18,15679
"79",0.6,19,14628
"80",0.6,20,15567
"81",0.8,1,13024
"82",0.8,2,15753
"83",0.8,3,13638
"84",0.8,4,15079
"85",0.8,5,14865
"86",0.8,6,11917
"87",0.8,7,16111
"88",0.8,8,14952
"89",0.8,9,14432
"90",0.8,10,14410
"91",0.8,11,13428
"92",0.8,12,13984
"93",0.8,13,13890
"94",0.8,14,14838
"95",0.8,15,14974
"96",0.8,16,15996
"97",0.8,17,13897
"98",0.8,18,16232
"99",0.8,19,13998
"100",0.8,20,14952
"101",0.95,1,8256
"102",0.95,2,8257
"103",0.95,3,8733
"104",0.95,4,8666
"105",0.95,5,7947
"106",0.95,6,10500
"107",0.95,7,7577
"108",0.95,8,7913
"109",0.95,9,7800
"110",0.95,10,8310
"111",0.95,11,9151
"112",0.95,12,8737
"113",0.95,13,8245
"114",0.95,14,8684
"115",0.95,15,7430
"116",0.95,16,9845
"117",0.95,17,7934
"118",0.95,18,9498
"119",0.95,19,8193
"120",0.95,20,10185
"121",0.99,1,3835
"122",0.99,2,5318
"123",0.99,3,4504
"124",0.99,4,4133
"125",0.99,5,4137
"126",0.99,6,3379
"127",0.99,7,4855
"128",0.99,8,4614
"129",0.99,9,6045
"130",0.99,10,5003
"131",0.99,11,3783
"132",0.99,12,4826
"133",0.99,13,3334
"134",0.99,14,4115
"135",0.99,15,3181
"136",0.99,16,3563
"137",0.99,17,4151
"138",0.99,18,6449
"139",0.99,19,5234
"140",0.99,20,4767
"141",1,1,2342
"142",1,2,3258
"143",1,3,2174
"144",1,4,2184
"145",1,5,3911
"146",1,6,3217
"147",1,7,1799
"148",1,8,3641
"149",1,9,1758
"150",1,10,2994
"151",1,11,1923
"152",1,12,4258
"153",1,13,3512
"154",1,14,2750
"155",1,15,5013
"156",1,16,3470
"157",1,17,4278
"158",1,18,3147
"159",1,19,3000
"160",1,20,2741
