"","Uniparenting_rate","Replicate","Relative_homo_selfing"
"1",0,1,0.442257046752366
"2",0,2,0.448285064365683
"3",0,3,0.433021139951833
"4",0,4,0.438180086138654
"5",0,5,0.451847009698635
"6",0,6,0.429647630619684
"7",0,7,0.434371661050382
"8",0,8,0.444933152749655
"9",0,9,0.439788254928549
"10",0,10,0.447477422421403
"11",0,11,0.457326303700997
"12",0,12,0.436497299592617
"13",0,13,0.448117748391346
"14",0,14,0.447901658846078
"15",0,15,0.436237027117509
"16",0,16,0.437772397094431
"17",0,17,0.422527030059803
"18",0,18,0.444258370075753
"19",0,19,0.442120761816471
"20",0,20,0.424907528285466
"21",0.2,1,0.493201845764464
"22",0.2,2,0.507410243704671
"23",0.2,3,0.505608334964393
"24",0.2,4,0.493244523012816
"25",0.2,5,0.511217126120958
"26",0.2,6,0.487351743408341
"27",0.2,7,0.545902447035638
"28",0.2,8,0.530846870520784
"29",0.2,9,0.536642213622985
"30",0.2,10,0.500124445485557
"31",0.2,11,0.512460990075579
"32",0.2,12,0.498060128294304
"33",0.2,13,0.472648370090353
"34",0.2,14,0.479506055568749
"35",0.2,15,0.527696654932357
"36",0.2,16,0.511166023166023
"37",0.2,17,0.526374286572544
"38",0.2,18,0.501946389189029
"39",0.2,19,0.539362156229038
"40",0.2,20,0.482993719576801
"41",0.4,1,0.574482902709102
"42",0.4,2,0.565774037235399
"43",0.4,3,0.593237070624258
"44",0.4,4,0.594661514509201
"45",0.4,5,0.551458287875482
"46",0.4,6,0.548418583146394
"47",0.4,7,0.581106940457791
"48",0.4,8,0.61632020484485
"49",0.4,9,0.625469145500567
"50",0.4,10,0.566788427569412
"51",0.4,11,0.591762875624335
"52",0.4,12,0.582784279600064
"53",0.4,13,0.588628022352963
"54",0.4,14,0.599364069952305
"55",0.4,15,0.597608095676173
"56",0.4,16,0.550552634775216
"57",0.4,17,0.576258966872139
"58",0.4,18,0.609355159751536
"59",0.4,19,0.595035878947551
"60",0.4,20,0.626244760068628
"61",0.6,1,0.607601859447635
"62",0.6,2,0.679134024092326
"63",0.6,3,0.661571161732185
"64",0.6,4,0.6897582531843
"65",0.6,5,0.696187475219632
"66",0.6,6,0.68376685423081
"67",0.6,7,0.675258294925843
"68",0.6,8,0.715295423971301
"69",0.6,9,0.726305886202806
"70",0.6,10,0.606544790521052
"71",0.6,11,0.744152419834992
"72",0.6,12,0.671197356865041
"73",0.6,13,0.693153293516835
"74",0.6,14,0.716093655526135
"75",0.6,15,0.715264228486031
"76",0.6,16,0.723331553657234
"77",0.6,17,0.705962002284941
"78",0.6,18,0.686005556649384
"79",0.6,19,0.618245599205427
"80",0.6,20,0.673998224839261
"81",0.8,1,0.803008816819779
"82",0.8,2,0.852135342006329
"83",0.8,3,0.781256265574428
"84",0.8,4,0.791340855418525
"85",0.8,5,0.826154615683877
"86",0.8,6,0.711526405349733
"87",0.8,7,0.816925690236544
"88",0.8,8,0.854009595613434
"89",0.8,9,0.758840076767358
"90",0.8,10,0.828494221813373
"91",0.8,11,0.824841057772045
"92",0.8,12,0.784604163159962
"93",0.8,13,0.795350435180944
"94",0.8,14,0.821390019098231
"95",0.8,15,0.827864547339323
"96",0.8,16,0.832258064516129
"97",0.8,17,0.786073872956615
"98",0.8,18,0.817835999496158
"99",0.8,19,0.786669663931662
"100",0.8,20,0.885939444214019
"101",0.95,1,0.936797912175196
"102",0.95,2,0.953794617072889
"103",0.95,3,0.948929696837988
"104",0.95,4,0.929728569895934
"105",0.95,5,0.964851575305045
"106",0.95,6,0.948809470022139
"107",0.95,7,0.983898195039605
"108",0.95,8,0.933356923802784
"109",0.95,9,0.971175994521571
"110",0.95,10,0.945984404348568
"111",0.95,11,0.937170362025705
"112",0.95,12,0.971695490185175
"113",0.95,13,0.918611776502702
"114",0.95,14,0.935624629639606
"115",0.95,15,0.961003686218716
"116",0.95,16,0.941744786684523
"117",0.95,17,0.964209758765267
"118",0.95,18,0.942168435671064
"119",0.95,19,0.947551032209565
"120",0.95,20,0.95018191995522
"121",0.99,1,0.994553941908714
"122",0.99,2,0.997561433126993
"123",0.99,3,0.992507712648744
"124",0.99,4,0.99184065274778
"125",0.99,5,0.993396566214432
"126",0.99,6,0.970558667241132
"127",0.99,7,0.993045612599714
"128",0.99,8,0.986424371993586
"129",0.99,9,0.998018821198613
"130",0.99,10,0.997010761259466
"131",0.99,11,0.992913385826772
"132",0.99,12,0.984194962781686
"133",0.99,13,0.977712609970674
"134",0.99,14,0.974310406061324
"135",0.99,15,0.993751952514839
"136",0.99,16,0.98917268184342
"137",0.99,17,0.986220004751722
"138",0.99,18,0.996985390739739
"139",0.99,19,0.988013213780085
"140",0.99,20,0.992401373998126
"141",1,1,0.997444633730835
"142",1,2,0.997245179063361
"143",1,3,0.994510521500457
"144",1,4,0.995896032831737
"145",1,5,0.996306203031461
"146",1,6,0.996437974291467
"147",1,7,0.995022123893805
"148",1,8,0.998628634119583
"149",1,9,0.995751911639762
"150",1,10,0.996339434276206
"151",1,11,0.995599275174735
"152",1,12,0.997540119479911
"153",1,13,0.996736199801334
"154",1,14,0.995294969236337
"155",1,15,0.998307278701583
"156",1,16,0.996983192070105
"157",1,17,0.997319034852547
"158",1,18,0.997938798160774
"159",1,19,0.99684332945672
"160",1,20,0.996364958197019
