"","GC_rate","Replicate","N_segregating_mutations_cloning"
"1",1e-05,1,4177
"2",1e-05,2,7533
"3",1e-05,3,3597
"4",1e-05,4,5281
"5",1e-05,5,4156
"6",1e-05,6,3888
"7",1e-05,7,5159
"8",1e-05,8,4583
"9",1e-05,9,5103
"10",1e-05,10,11721
"11",1e-06,1,9788
"12",1e-06,2,11375
"13",1e-06,3,9513
"14",1e-06,4,6359
"15",1e-06,5,7451
"16",1e-06,6,6713
"17",1e-06,7,6416
"18",1e-06,8,7676
"19",1e-06,9,5855
"20",1e-06,10,6550
"21",1e-07,1,34536
"22",1e-07,2,31075
"23",1e-07,3,35294
"24",1e-07,4,31662
"25",1e-07,5,30648
"26",1e-07,6,30885
"27",1e-07,7,31991
"28",1e-07,8,30202
"29",1e-07,9,30246
"30",1e-07,10,30315
"31",1e-08,1,232735
"32",1e-08,2,228459
"33",1e-08,3,238646
"34",1e-08,4,235082
"35",1e-08,5,238668
"36",1e-08,6,235233
"37",1e-08,7,232502
"38",1e-08,8,235690
"39",1e-08,9,240094
"40",1e-08,10,236651
"41",1e-09,1,442172
"42",1e-09,2,440321
"43",1e-09,3,441740
"44",1e-09,4,448584
"45",1e-09,5,457617
"46",1e-09,6,449011
"47",1e-09,7,449852
"48",1e-09,8,453250
"49",1e-09,9,444253
"50",1e-09,10,441310
"51",1e-10,1,473549
"52",1e-10,2,489977
"53",1e-10,3,479417
"54",1e-10,4,483575
"55",1e-10,5,481579
"56",1e-10,6,490313
"57",1e-10,7,485499
"58",1e-10,8,478499
"59",1e-10,9,478016
"60",1e-10,10,494871
"61",1e-11,1,488037
"62",1e-11,2,488150
"63",1e-11,3,493853
"64",1e-11,4,487709
"65",1e-11,5,486518
"66",1e-11,6,492902
"67",1e-11,7,494672
"68",1e-11,8,484705
"69",1e-11,9,488061
"70",1e-11,10,486026
