"","GC_rate","Replicate","Relative_homo_cloning"
"1",1e-05,1,0.943739525975581
"2",1e-05,2,0.967210938537103
"3",1e-05,3,0.926883514039477
"4",1e-05,4,0.950198825979928
"5",1e-05,5,0.93888354186718
"6",1e-05,6,0.92798353909465
"7",1e-05,7,0.95832525683272
"8",1e-05,8,0.939995636046258
"9",1e-05,9,0.957867920830884
"10",1e-05,10,0.978244177117993
"11",1e-06,1,0.754801798120147
"12",1e-06,2,0.786285714285714
"13",1e-06,3,0.77220645432566
"14",1e-06,4,0.652303821355559
"15",1e-06,5,0.6619245738827
"16",1e-06,6,0.636675107999404
"17",1e-06,7,0.624064837905237
"18",1e-06,8,0.69332985930172
"19",1e-06,9,0.615542271562767
"20",1e-06,10,0.658625954198473
"21",1e-07,1,0.233205930044012
"22",1e-07,2,0.190442477876106
"23",1e-07,3,0.258287527625092
"24",1e-07,4,0.120270355631356
"25",1e-07,5,0.187353171495693
"26",1e-07,6,0.13767200906589
"27",1e-07,7,0.16779719296052
"28",1e-07,8,0.13085226143964
"29",1e-07,9,0.107386100641407
"30",1e-07,10,0.144944746825004
"31",1e-08,1,0.0162674286205341
"32",1e-08,2,0.0163968151834684
"33",1e-08,3,0.0207252583324254
"34",1e-08,4,0.0194655481916948
"35",1e-08,5,0.0224663549365646
"36",1e-08,6,0.0153464862498034
"37",1e-08,7,0.0141676200634833
"38",1e-08,8,0.0192286478000764
"39",1e-08,9,0.0243404666505619
"40",1e-08,10,0.0236212819721869
"41",1e-09,1,0.00107198103905268
"42",1e-09,2,0.00202125267702426
"43",1e-09,3,0.00120885588807896
"44",1e-09,4,0.00328143669858934
"45",1e-09,5,0.00190552361472585
"46",1e-09,6,0.00155898185122413
"47",1e-09,7,0.00434809670736153
"48",1e-09,8,0.00362713734142306
"49",1e-09,9,0.00334043889405361
"50",1e-09,10,0.00139584419115814
"51",1e-10,1,4.22342777621746e-05
"52",1e-10,2,0.000302054994418105
"53",1e-10,3,0.000571527501110724
"54",1e-10,4,4.13586310293129e-05
"55",1e-10,5,0.000145355175371019
"56",1e-10,6,4.89483248455578e-05
"57",1e-10,7,0.000304840998642634
"58",1e-10,8,9.61339522130663e-05
"59",1e-10,9,0.000221749899584951
"60",1e-10,10,0.000363731154179574
"61",1e-11,1,1.63921997717386e-05
"62",1e-11,2,0
"63",1e-11,3,0
"64",1e-11,4,0
"65",1e-11,5,0
"66",1e-11,6,4.05760171393096e-06
"67",1e-11,7,4.85169971213248e-05
"68",1e-11,8,0
"69",1e-11,9,8.19569684936924e-06
"70",1e-11,10,0
